"","team","metal","time_avg_lead","sos","adj_time_avg_lead","record","avg_point_diff"
"1","ARI",6.14138888888889,2.84919934640523,0.455943204365079,3.30514255077031,"11-6-0",4.88235294117647
"2","ATL",-2.05083333333333,-2.62104575163399,-0.90935333994709,-3.53039909158108,"7-10-0",-8.58823529411765
"3","BAL",0.468055555555556,-0.642107843137255,0.262210069444444,-0.37989777369281,"8-9-0",-0.294117647058824
"4","BUF",6.3225,5.50571895424837,-0.428102843915344,5.07761611033302,"11-6-0",11.4117647058824
"5","CAR",-2.96388888888889,-0.719591503267974,-0.10759375,-0.827185253267974,"5-12-0",-5.88235294117647
"6","CHI",-2.31416666666667,-2.21127450980392,0.0441447585978836,-2.16712975120604,"6-11-0",-5.64705882352941
"7","CIN",1.33555555555556,0.983382352941176,-1.1010667989418,-0.117684446000623,"10-7-0",4.94117647058824
"8","CLE",2.61111111111111,0.862320261437908,-0.0744306382275132,0.787889623210395,"8-9-0",-1.29411764705882
"9","DAL",4.89472222222222,4.35777777777778,0.448583994708995,4.80636177248677,"12-5-0",10.1176470588235
"10","DEN",-1.20472222222222,-0.382107843137255,-1.58525,-1.96735784313725,"7-10-0",0.764705882352941
"11","DET",-4.05416666666667,-4.90271241830065,0.0111312003968254,-4.89158121790383,"3-13-1",-8.35294117647059
"12","GB",2.45111111111111,1.84187908496732,0.18644849537037,2.02832758033769,"13-4-0",4.64705882352941
"13","HOU",-3.6075,-3.46351307189543,0.645021329365079,-2.81849174253035,"4-13-0",-10.1176470588235
"14","IND",3.56527777777778,3.96209150326797,0.662246610449735,4.62433811371771,"9-8-0",5.05882352941176
"15","JAX",-8.365,-6.96356209150327,0.393707175925926,-6.56985491557734,"3-14-0",-12
"16","KC",4.74416666666667,3.93946078431373,0.480910218253968,4.42037100256769,"12-5-0",6.82352941176471
"17","LA",3.60694444444444,2.81116013071895,-0.0222675264550264,2.78889260426393,"12-5-0",5.17647058823529
"18","LAC",0.761666666666667,1.23602941176471,-0.176966765873016,1.05906264589169,"9-8-0",0.882352941176471
"19","LV",-0.779722222222222,-1.34506535947712,-0.0874305555555555,-1.43249591503268,"10-7-0",-3.82352941176471
"20","MIA",1.94194444444444,-0.0545915032679738,-0.705212136243386,-0.75980363951136,"9-8-0",-1.88235294117647
"21","MIN",2.14194444444444,1.17236928104575,0.575788194444444,1.7481574754902,"8-9-0",-0.0588235294117647
"22","NE",2.21388888888889,2.82897058823529,0.306929398148148,3.13589998638344,"10-7-0",9.35294117647059
"23","NO",-0.166666666666667,-0.686732026143791,0.303211474867725,-0.383520551276066,"9-8-0",1.70588235294118
"24","NYG",-4.88694444444444,-5.00383986928105,-0.0139358465608465,-5.01777571584189,"4-13-0",-9.29411764705882
"25","NYJ",-5.05555555555556,-6.12485294117647,-0.107143435846561,-6.23199637702303,"4-13-0",-11.4117647058824
"26","PHI",-2.02916666666667,0.0721732026143791,-0.783633845899471,-0.711460643285092,"9-8-0",3.47058823529412
"27","PIT",-2.70027777777778,-3.6116339869281,0.494416583994709,-3.1172174029334,"9-7-1",-3.23529411764706
"28","SEA",1.41722222222222,2.1653431372549,-0.486570436507936,1.67877270074697,"7-10-0",1.70588235294118
"29","SF",1.62111111111111,1.75315359477124,-0.0117738921957671,1.74137970257547,"10-7-0",3.64705882352941
"30","TB",3.79222222222222,3.98849673202614,0.182138640873016,4.17063537289916,"13-4-0",9.29411764705882
"31","TEN",4.2975,1.93109477124183,0.491985201719577,2.42307997296141,"12-5-0",3.82352941176471
"32","WAS",-2.21833333333333,-3.52799019607843,0.655915261243386,-2.87207493483504,"7-10-0",-5.82352941176471
